상호명,업종,주소,링크,주차,비고
Ahn,베트남,서울특별시 마포구 동교로 262-13,http://www.instagram.com/anhseoul/,불가,
마오 청담점,중식,서울특별시 강남구 도산대로56길 17 1층,http://windchoco.blog.me/220638626450,발렛,
브루클린더버거조인트 삼성점,햄버거,서울특별시 강남구 봉은사로84길 10,http://www.menupan.com/restaurant/onepage.asp?acode=R106970,가능,
평양면옥,냉면,서울특별시 강남구 논현로28길 28,http://map.naver.com/local/siteview.nhn?code=34882345&_ts=1487240776698,발렛,
팔로피자,피자,서울특별시 마포구 양화로6길 9-20 카메오빌딩 1층,http://map.naver.com/local/siteview.nhn?code=36785829,가능,
노사이드,일식,서울특별시 마포구 와우산로37길 48,,불가,오꼬노미야끼
방콕익스프레스,타이,서울특별시 서대문구 연세로2 93-7 백송빌딩1층,http://map.naver.com/local/siteview.nhn?code=36860497,불가,
에노테카오토,이탈리안,서울특별시 서대문구 연희동 130-13,http://map.naver.com/local/siteview.nhn?code=36410880,불가,
길우진퀴진,브런치,서울특별시 이화여대7길 31-3,http://map.naver.com/local/siteview.nhn?code=21403118,불가,
무앙,베이커리,서울특별시 강남구 도곡로93길 12 우성206동,http://map.naver.com/local/siteview.nhn?code=33093388,불가,
보난자,독일,서울특별시 마포구 양화로16길 30,http://map.naver.com/local/siteview.nhn?code=11603760,불가,슈바인학센
오곡현미빵,베이커리,대구광역시 달서구 월서로 24,http://map.naver.com/local/siteview.nhn?code=16308628,불가,현미식빵
다복식당,한식,대구광역시 달서구 월배로38길 12,http://map.naver.com/local/siteview.nhn?code=16311553,불가,아구찜
개정,한식,대구광역시 중구 동성로3길 52,http://map.naver.com/local/siteview.nhn?code=31949488,불가,전주비빔밥
미성복어불고기,한식,대구광역시 수성구 들안로 87,http://map.naver.com/local/siteview.nhn?code=11724371,발렛,
파리스치킨,치킨,서울특별시 강남구 삼성로103길 23,http://map.naver.com/local/siteview.nhn?code=31833694&_ts=1487377610157,가능,맥주/와인 잘 어울림
새벽집 청담동점,한식,서울특별시 강남구 도산대로101길 6,http://map.naver.com/local/siteview.nhn?code=11680234,발렛,육회비빔밥
우래옥 강남점,냉면,서울특별시 강남구 영동대로 313,http://map.naver.com/local/siteview.nhn?code=11834824,발렛,평양냉면
대성집,한식,서울특별시 종로구 사직로 5,http://map.naver.com/local/siteview.nhn?code=13517178&_ts=1487473372687,가능,미슐랭
로드샌드위치,베이커리,서울특별시 서대문구 연대동문길 45 2층,http://map.naver.com/local/siteview.nhn?code=13551999&_ts=1487485941865,가능,
